day,P,E,obs,state_errors,Q_with_state_errors,Q_no_state_errors
1970-03-09,3.56756951904917,6.19734153247167,0,NA,NA,0.123995355037581
1970-03-10,0.0120369201793641,6.25023495143447,0,NA,NA,0.121825198312952
1970-03-11,0.00307918394588342,6.19321999899708,0,NA,NA,0.119724645892977
1970-03-12,0,5.46399069140088,0,NA,NA,0.117690340780796
1970-03-13,0,5.13745645834301,0,NA,NA,0.115719022598328
1970-03-14,0,4.79657684173598,0,NA,NA,0.113808181244307
1970-03-15,0.0920616634261297,3.97086663857783,0,NA,NA,0.111955337185104
1970-03-16,1.77906701221707,4.30303090253342,0,NA,NA,0.110158057668549
1970-03-17,0.0314162945681393,4.83202946767956,0,NA,NA,0.108413945136187
1970-03-18,0.18957398429814,5.01541070535048,0,NA,NA,0.10672069442032
